Código (SKU),Descrição / Nome,Modelo / Referência,Divisão,Categoria,Subcategoria,Preço de Venda (R$),Custo (R$),Temporada,Coleção,Nível de Risco,Faixa de Preço,Cor (nome do fornecedor),Material Principal
SKU_1251_SHO,Vestidos Vestido Longo SKU_1251_SHO,,Feminino,Vestidos,Vestido Longo,919.9,302.83,,PV24,,,,
SKU_1252_FLA,Blusas Blusa Manga Curta SKU_1252_FLA,,Feminino,Blusas,Blusa Manga Curta,224.9,71.52,,PV24,,,,
SKU_1252_NAV,Blusas Blusa Manga Curta SKU_1252_NAV,,Feminino,Blusas,Blusa Manga Curta,224.9,71.52,,PV24,,,,
SKU_1253_FRE,Vestidos Vestido Curto SKU_1253_FRE,,Feminino,Vestidos,Vestido Curto,359.9,118.48,,PV24,,,,
SKU_1253_SEA,Vestidos Vestido Curto SKU_1253_SEA,,Feminino,Vestidos,Vestido Curto,359.9,118.48,,PV24,,,,
SKU_1254_BAB,Blusas Blusa Manga Curta SKU_1254_BAB,,Feminino,Blusas,Blusa Manga Curta,189.9,62.86,,PV24,,,,
SKU_1254_SEA,Blusas Blusa Manga Curta SKU_1254_SEA,,Feminino,Blusas,Blusa Manga Curta,189.9,62.86,,PV24,,,,
SKU_1255_SHO,Calças Calça Jeans SKU_1255_SHO,,Feminino,Calças,Calça Jeans,479.9,149.08,,PV24,,,,
SKU_1255_VAN,Calças Calça Jeans SKU_1255_VAN,,Feminino,Calças,Calça Jeans,479.9,149.08,,PV24,,,,
SKU_1256_MID,Vestidos Vestido Midi SKU_1256_MID,,Feminino,Vestidos,Vestido Midi,649.9,197.78,,PV24,,,,
SKU_1256_SEA,Vestidos Vestido Midi SKU_1256_SEA,,Feminino,Vestidos,Vestido Midi,649.9,197.78,,PV24,,,,
SKU_1257_EME,T-shirts e Regatas T-shirt Estampada SKU_1257_EME,,Feminino,T-shirts e Regatas,T-shirt Estampada,204.9,58.46,,PV24,,,,
SKU_1257_SPA,T-shirts e Regatas T-shirt Estampada SKU_1257_SPA,,Feminino,T-shirts e Regatas,T-shirt Estampada,204.9,58.46,,PV24,,,,
SKU_1258_AQU,Shorts e Bermudas Bermuda SKU_1258_AQU,,Feminino,Shorts e Bermudas,Bermuda,264.9,78.68,,PV24,,,,
SKU_1258_LIG,Shorts e Bermudas Bermuda SKU_1258_LIG,,Feminino,Shorts e Bermudas,Bermuda,264.9,78.68,,PV24,,,,
SKU_1259_ARM,Camisas Camisa Alfaiataria SKU_1259_ARM,,Feminino,Camisas,Camisa Alfaiataria,359.9,128.27,,PV24,,,,
SKU_1259_POW,Camisas Camisa Alfaiataria SKU_1259_POW,,Feminino,Camisas,Camisa Alfaiataria,359.9,128.27,,PV24,,,,
SKU_1260_ROY,Calças Calça Jeans SKU_1260_ROY,,Feminino,Calças,Calça Jeans,339.9,112.51,,PV24,,,,
SKU_1260_WHI,Calças Calça Jeans SKU_1260_WHI,,Feminino,Calças,Calça Jeans,339.9,112.51,,PV24,,,,
SKU_1261_PAS,Vestidos Vestido Midi SKU_1261_PAS,,Feminino,Vestidos,Vestido Midi,494.9,162.92,,PV24,,,,
SKU_1262_BLU,Calças Calça Pantalona SKU_1262_BLU,,Feminino,Calças,Calça Pantalona,274.9,90.99,,PV24,,,,
SKU_1262_OFF,Calças Calça Pantalona SKU_1262_OFF,,Feminino,Calças,Calça Pantalona,274.9,90.99,,PV24,,,,
SKU_1263_COB,Blusas Blusa Cropped SKU_1263_COB,,Feminino,Blusas,Blusa Cropped,184.9,60.87,,PV24,,,,
SKU_1263_SKY,Blusas Blusa Cropped SKU_1263_SKY,,Feminino,Blusas,Blusa Cropped,184.9,60.87,,PV24,,,,
SKU_1264_BRI,Bolsas Bolsa Tote SKU_1264_BRI,,Acessórios,Bolsas,Bolsa Tote,614.9,195.54,,PV24,,,,
SKU_1264_EGR,Bolsas Bolsa Tote SKU_1264_EGR,,Acessórios,Bolsas,Bolsa Tote,614.9,195.54,,PV24,,,,
SKU_1265_CRE,Saias Saia Curta SKU_1265_CRE,,Feminino,Saias,Saia Curta,219.9,72.79,,PV24,,,,
SKU_1265_JAD,Saias Saia Curta SKU_1265_JAD,,Feminino,Saias,Saia Curta,219.9,72.79,,PV24,,,,
SKU_1266_MEX,Calças Calça Pantalona SKU_1266_MEX,,Feminino,Calças,Calça Pantalona,299.9,98.73,,PV24,,,,
SKU_1266_SPA,Calças Calça Pantalona SKU_1266_SPA,,Feminino,Calças,Calça Pantalona,299.9,98.73,,PV24,,,,
SKU_1267_SAP,Camisas Camisa Alfaiataria SKU_1267_SAP,,Feminino,Camisas,Camisa Alfaiataria,334.9,110.85,,PV24,,,,
SKU_1267_SKY,Camisas Camisa Alfaiataria SKU_1267_SKY,,Feminino,Camisas,Camisa Alfaiataria,334.9,110.85,,PV24,,,,
SKU_1268_MAR,Vestidos Vestido Curto SKU_1268_MAR,,Feminino,Vestidos,Vestido Curto,334.9,106.5,,PV24,,,,
SKU_1268_MYS,Vestidos Vestido Curto SKU_1268_MYS,,Feminino,Vestidos,Vestido Curto,334.9,106.5,,PV24,,,,
SKU_1269_BAB,Vestidos Vestido Longo SKU_1269_BAB,,Feminino,Vestidos,Vestido Longo,1039.9,342.34,,PV24,,,,
SKU_1269_CER,Vestidos Vestido Longo SKU_1269_CER,,Feminino,Vestidos,Vestido Longo,1039.9,342.34,,PV24,,,,
SKU_1270_CRE,Bijoux Brinco SKU_1270_CRE,,Acessórios,Bijoux,Brinco,189.9,62.52,,PV24,,,,
SKU_1270_TUR,Bijoux Brinco SKU_1270_TUR,,Acessórios,Bijoux,Brinco,189.9,62.52,,PV24,,,,
SKU_1271_FLA,Bolsas Bolsa Tote SKU_1271_FLA,,Acessórios,Bolsas,Bolsa Tote,889.9,292.96,,PV24,,,,
SKU_1271_OLI,Bolsas Bolsa Tote SKU_1271_OLI,,Acessórios,Bolsas,Bolsa Tote,889.9,292.96,,PV24,,,,
SKU_1272_PAS,Calças Calça Jeans SKU_1272_PAS,,Feminino,Calças,Calça Jeans,379.9,125.75,,PV24,,,,
SKU_1272_TEA,Calças Calça Jeans SKU_1272_TEA,,Feminino,Calças,Calça Jeans,379.9,125.75,,PV24,,,,
SKU_1273_EGR,Vestidos Vestido de Festa SKU_1273_EGR,,Feminino,Vestidos,Vestido de Festa,764.9,243.24,,PV24,,,,
SKU_1273_PAS,Vestidos Vestido de Festa SKU_1273_PAS,,Feminino,Vestidos,Vestido de Festa,764.9,243.24,,PV24,,,,
SKU_1274_BAL,Saias Saia Midi SKU_1274_BAL,,Feminino,Saias,Saia Midi,264.9,84.24,,PV24,,,,
SKU_1274_MEX,Saias Saia Midi SKU_1274_MEX,,Feminino,Saias,Saia Midi,264.9,84.24,,PV24,,,,
SKU_1275_BIR,T-shirts e Regatas T-shirt Estampada SKU_1275_BIR,,Feminino,T-shirts e Regatas,T-shirt Estampada,184.9,60.87,,PV24,,,,
SKU_1275_MIN,T-shirts e Regatas T-shirt Estampada SKU_1275_MIN,,Feminino,T-shirts e Regatas,T-shirt Estampada,184.9,60.87,,PV24,,,,
SKU_1276_LIG,T-shirts e Regatas T-shirt Básica SKU_1276_LIG,,Feminino,T-shirts e Regatas,T-shirt Básica,174.9,50.39,,OI24,,,,
SKU_1276_WHI,T-shirts e Regatas T-shirt Básica SKU_1276_WHI,,Feminino,T-shirts e Regatas,T-shirt Básica,174.9,50.39,,OI24,,,,
SKU_1277_BAB,Blusas Body SKU_1277_BAB,,Feminino,Blusas,Body,264.9,71.59,,OI24,,,,
SKU_1277_MYS,Blusas Body SKU_1277_MYS,,Feminino,Blusas,Body,264.9,71.59,,OI24,,,,
SKU_1278_BAB,Vestidos Vestido de Festa SKU_1278_BAB,,Feminino,Vestidos,Vestido de Festa,1029.9,293.83,,OI24,,,,
SKU_1278_MOS,Vestidos Vestido de Festa SKU_1278_MOS,,Feminino,Vestidos,Vestido de Festa,1029.9,293.83,,OI24,,,,
SKU_1279_FUC,Tricô Cardigan SKU_1279_FUC,,Feminino,Tricô,Cardigan,454.9,135.11,,OI24,,,,
SKU_1279_IVO,Tricô Cardigan SKU_1279_IVO,,Feminino,Tricô,Cardigan,454.9,135.11,,OI24,,,,
SKU_1280_LIM,Bolsas Bolsa Tiracolo SKU_1280_LIM,,Acessórios,Bolsas,Bolsa Tiracolo,499.9,178.16,,OI24,,,,
SKU_1280_PRI,Bolsas Bolsa Tiracolo SKU_1280_PRI,,Acessórios,Bolsas,Bolsa Tiracolo,499.9,178.16,,OI24,,,,
SKU_1281_CER,Casacos e Jaquetas Jaqueta Jeans SKU_1281_CER,,Feminino,Casacos e Jaquetas,Jaqueta Jeans,529.9,201.45,,OI24,,,,
SKU_1281_PIS,Casacos e Jaquetas Jaqueta Jeans SKU_1281_PIS,,Feminino,Casacos e Jaquetas,Jaqueta Jeans,529.9,201.45,,OI24,,,,
SKU_1282_BAL,Saias Saia Midi SKU_1282_BAL,,Feminino,Saias,Saia Midi,214.9,71.13,,OI24,,,,
SKU_1282_PIN,Saias Saia Midi SKU_1282_PIN,,Feminino,Saias,Saia Midi,214.9,71.13,,OI24,,,,
SKU_1283_BAB,Blusas Body SKU_1283_BAB,,Feminino,Blusas,Body,189.9,60.39,,OI24,,,,
SKU_1283_SNO,Blusas Body SKU_1283_SNO,,Feminino,Blusas,Body,189.9,60.39,,OI24,,,,
SKU_1284_COR,Vestidos Vestido de Festa SKU_1284_COR,,Feminino,Vestidos,Vestido de Festa,709.9,233.7,,OI24,,,,
SKU_1284_HOT,Vestidos Vestido de Festa SKU_1284_HOT,,Feminino,Vestidos,Vestido de Festa,709.9,233.7,,OI24,,,,
SKU_1285_CLO,Vestidos Vestido de Festa SKU_1285_CLO,,Feminino,Vestidos,Vestido de Festa,879.9,291.25,,OI24,,,,
SKU_1285_WHI,Vestidos Vestido de Festa SKU_1285_WHI,,Feminino,Vestidos,Vestido de Festa,879.9,291.25,,OI24,,,,
SKU_1286_HOT,Blusas Blusa Manga Longa SKU_1286_HOT,,Feminino,Blusas,Blusa Manga Longa,244.9,73.68,,OI24,,,,
SKU_1286_MAR,Blusas Blusa Manga Longa SKU_1286_MAR,,Feminino,Blusas,Blusa Manga Longa,244.9,73.68,,OI24,,,,
SKU_1287_CER,Calças Calça Alfaiataria SKU_1287_CER,,Feminino,Calças,Calça Alfaiataria,379.9,112.0,,OI24,,,,
SKU_1287_NAV,Calças Calça Alfaiataria SKU_1287_NAV,,Feminino,Calças,Calça Alfaiataria,379.9,112.0,,OI24,,,,
SKU_1288_BAB,Blusas Body SKU_1288_BAB,,Feminino,Blusas,Body,239.9,70.6,,OI24,,,,
SKU_1288_SAG,Blusas Body SKU_1288_SAG,,Feminino,Blusas,Body,239.9,70.6,,OI24,,,,
SKU_1289_AQU,Vestidos Vestido de Festa SKU_1289_AQU,,Feminino,Vestidos,Vestido de Festa,1029.9,336.78,,OI24,,,,
SKU_1290_BIR,Tricô Cardigan SKU_1290_BIR,,Feminino,Tricô,Cardigan,504.9,192.06,,OI24,,,,
SKU_1290_PIN,Tricô Cardigan SKU_1290_PIN,,Feminino,Tricô,Cardigan,504.9,192.06,,OI24,,,,
SKU_1291_SAL,Blusas Blusa Manga Longa SKU_1291_SAL,,Feminino,Blusas,Blusa Manga Longa,239.9,78.98,,OI24,,,,
SKU_1291_SPA,Blusas Blusa Manga Longa SKU_1291_SPA,,Feminino,Blusas,Blusa Manga Longa,239.9,78.98,,OI24,,,,
SKU_1292_FLA,Calças Calça Alfaiataria SKU_1292_FLA,,Feminino,Calças,Calça Alfaiataria,309.9,102.58,,OI24,,,,
SKU_1292_TEA,Calças Calça Alfaiataria SKU_1292_TEA,,Feminino,Calças,Calça Alfaiataria,309.9,102.58,,OI24,,,,
SKU_1293_OFF,Tricô Cardigan SKU_1293_OFF,,Feminino,Tricô,Cardigan,304.9,100.37,,OI24,,,,
SKU_1293_TEA,Tricô Cardigan SKU_1293_TEA,,Feminino,Tricô,Cardigan,304.9,100.37,,OI24,,,,
SKU_1294_COR,T-shirts e Regatas T-shirt Estampada SKU_1294_COR,,Feminino,T-shirts e Regatas,T-shirt Estampada,199.9,66.17,,OI24,,,,
SKU_1294_SEA,T-shirts e Regatas T-shirt Estampada SKU_1294_SEA,,Feminino,T-shirts e Regatas,T-shirt Estampada,199.9,66.17,,OI24,,,,
SKU_1295_FLA,Vestidos Vestido Midi SKU_1295_FLA,,Feminino,Vestidos,Vestido Midi,514.9,169.51,,OI24,,,,
SKU_1295_PIS,Vestidos Vestido Midi SKU_1295_PIS,,Feminino,Vestidos,Vestido Midi,514.9,169.51,,OI24,,,,
SKU_1296_DEE,Vestidos Vestido Midi SKU_1296_DEE,,Feminino,Vestidos,Vestido Midi,649.9,181.44,,OI24,,,,
SKU_1296_PEA,Vestidos Vestido Midi SKU_1296_PEA,,Feminino,Vestidos,Vestido Midi,649.9,181.44,,OI24,,,,
SKU_1297_MIN,Blusas Body SKU_1297_MIN,,Feminino,Blusas,Body,229.9,64.87,,OI24,,,,
SKU_1297_WHI,Blusas Body SKU_1297_WHI,,Feminino,Blusas,Body,229.9,64.87,,OI24,,,,
SKU_1298_IVO,T-shirts e Regatas T-shirt Estampada SKU_1298_IVO,,Feminino,T-shirts e Regatas,T-shirt Estampada,179.9,52.94,,OI24,,,,
SKU_1298_OFF,T-shirts e Regatas T-shirt Estampada SKU_1298_OFF,,Feminino,T-shirts e Regatas,T-shirt Estampada,179.9,52.94,,OI24,,,,
SKU_1299_BRI,Blusas Blusa Manga Longa SKU_1299_BRI,,Feminino,Blusas,Blusa Manga Longa,219.9,65.31,,OI24,,,,
SKU_1299_HOT,Blusas Blusa Manga Longa SKU_1299_HOT,,Feminino,Blusas,Blusa Manga Longa,219.9,65.31,,OI24,,,,
SKU_1300_BIR,Casacos e Jaquetas Jaqueta de Couro SKU_1300_BIR,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,1149.9,409.82,,OI24,,,,
SKU_1300_TEA,Casacos e Jaquetas Jaqueta de Couro SKU_1300_TEA,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,1149.9,409.82,,OI24,,,,
SKU_1301_AQU,Vestidos Vestido Midi SKU_1301_AQU,,Feminino,Vestidos,Vestido Midi,544.9,179.38,,OI24,,,,
SKU_1301_GAR,Vestidos Vestido Midi SKU_1301_GAR,,Feminino,Vestidos,Vestido Midi,544.9,179.38,,OI24,,,,
SKU_1302_DUS,Vestidos Vestido Midi SKU_1302_DUS,,Feminino,Vestidos,Vestido Midi,419.9,138.23,,OI24,,,,
SKU_1302_EME,Vestidos Vestido Midi SKU_1302_EME,,Feminino,Vestidos,Vestido Midi,419.9,138.23,,OI24,,,,
SKU_1303_BIR,Cintos Cinto de Couro SKU_1303_BIR,,Acessórios,Cintos,Cinto de Couro,164.9,54.58,,OI24,,,,
SKU_1303_SAP,Cintos Cinto de Couro SKU_1303_SAP,,Acessórios,Cintos,Cinto de Couro,164.9,54.58,,OI24,,,,
SKU_1304_GAR,Calças Calça Alfaiataria SKU_1304_GAR,,Feminino,Calças,Calça Alfaiataria,494.9,157.38,,OI24,,,,
SKU_1304_TUR,Calças Calça Alfaiataria SKU_1304_TUR,,Feminino,Calças,Calça Alfaiataria,494.9,157.38,,OI24,,,,
SKU_1305_MAR,Tricô Cardigan SKU_1305_MAR,,Feminino,Tricô,Cardigan,349.9,115.19,,OI24,,,,
SKU_1305_OFF,Tricô Cardigan SKU_1305_OFF,,Feminino,Tricô,Cardigan,349.9,115.19,,OI24,,,,
SKU_1306_FRE,Vestidos Vestido de Festa SKU_1306_FRE,,Feminino,Vestidos,Vestido de Festa,859.9,273.45,,OI24,,,,
SKU_1306_SPA,Vestidos Vestido de Festa SKU_1306_SPA,,Feminino,Vestidos,Vestido de Festa,859.9,273.45,,OI24,,,,
SKU_1307_FOR,Saias Saia Midi SKU_1307_FOR,,Feminino,Saias,Saia Midi,219.9,72.79,,OI24,,,,
SKU_1307_MAG,Saias Saia Midi SKU_1307_MAG,,Feminino,Saias,Saia Midi,219.9,72.79,,OI24,,,,
SKU_1308_CER,Casacos e Jaquetas Jaqueta Jeans SKU_1308_CER,,Feminino,Casacos e Jaquetas,Jaqueta Jeans,419.9,138.99,,OI24,,,,
SKU_1308_PAS,Casacos e Jaquetas Jaqueta Jeans SKU_1308_PAS,,Feminino,Casacos e Jaquetas,Jaqueta Jeans,419.9,138.99,,OI24,,,,
SKU_1309_LIG,Camisas Camisa Jeans SKU_1309_LIG,,Feminino,Camisas,Camisa Jeans,364.9,120.13,,OI24,,,,
SKU_1309_OLI,Camisas Camisa Jeans SKU_1309_OLI,,Feminino,Camisas,Camisa Jeans,364.9,120.13,,OI24,,,,
SKU_1310_EGR,Blusas Blusa Manga Longa SKU_1310_EGR,,Feminino,Blusas,Blusa Manga Longa,239.9,79.41,,OI24,,,,
SKU_1310_MOS,Blusas Blusa Manga Longa SKU_1310_MOS,,Feminino,Blusas,Blusa Manga Longa,239.9,79.41,,OI24,,,,
SKU_1311_BAB,Casacos e Jaquetas Jaqueta de Couro SKU_1311_BAB,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,879.9,289.66,,OI24,,,,
SKU_1311_NAV,Casacos e Jaquetas Jaqueta de Couro SKU_1311_NAV,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,879.9,289.66,,OI24,,,,
SKU_1312_HOT,Blusas Blusa Manga Longa SKU_1312_HOT,,Feminino,Blusas,Blusa Manga Longa,249.9,82.72,,OI24,,,,
SKU_1312_NAV,Blusas Blusa Manga Longa SKU_1312_NAV,,Feminino,Blusas,Blusa Manga Longa,249.9,82.72,,OI24,,,,
SKU_1313_SHO,Casacos e Jaquetas Casaco de Lã SKU_1313_SHO,,Feminino,Casacos e Jaquetas,Casaco de Lã,934.9,307.77,,OI24,,,,
SKU_1313_SPA,Casacos e Jaquetas Casaco de Lã SKU_1313_SPA,,Feminino,Casacos e Jaquetas,Casaco de Lã,934.9,307.77,,OI24,,,,
SKU_1314_BLU,Camisas Camisa Alfaiataria SKU_1314_BLU,,Feminino,Camisas,Camisa Alfaiataria,289.9,95.44,,OI24,,,,
SKU_1314_SNO,Camisas Camisa Alfaiataria SKU_1314_SNO,,Feminino,Camisas,Camisa Alfaiataria,289.9,95.44,,OI24,,,,
SKU_1315_BLA,Tricô Suéter SKU_1315_BLA,,Feminino,Tricô,Suéter,344.9,114.16,,OI24,,,,
SKU_1315_WHI,Tricô Suéter SKU_1315_WHI,,Feminino,Tricô,Suéter,344.9,114.16,,OI24,,,,
SKU_1316_AQU,Tricô Cardigan SKU_1316_AQU,,Feminino,Tricô,Cardigan,514.9,169.51,,OI24,,,,
SKU_1316_DEN,Tricô Cardigan SKU_1316_DEN,,Feminino,Tricô,Cardigan,514.9,169.51,,OI24,,,,
SKU_1317_BLU,Blusas Body SKU_1317_BLU,,Feminino,Blusas,Body,214.9,65.4,,OI24,,,,
SKU_1317_ROS,Blusas Body SKU_1317_ROS,,Feminino,Blusas,Body,214.9,65.4,,OI24,,,,
SKU_1318_MYS,Lenços Lenço Estampado SKU_1318_MYS,,Acessórios,Lenços,Lenço Estampado,239.9,76.09,,OI24,,,,
SKU_1318_PAS,Lenços Lenço Estampado SKU_1318_PAS,,Acessórios,Lenços,Lenço Estampado,239.9,76.09,,OI24,,,,
SKU_1319_MAR,T-shirts e Regatas T-shirt Estampada SKU_1319_MAR,,Feminino,T-shirts e Regatas,T-shirt Estampada,189.9,54.18,,OI24,,,,
SKU_1319_ROS,T-shirts e Regatas T-shirt Estampada SKU_1319_ROS,,Feminino,T-shirts e Regatas,T-shirt Estampada,189.9,54.18,,OI24,,,,
SKU_1320_FOR,T-shirts e Regatas T-shirt Básica SKU_1320_FOR,,Feminino,T-shirts e Regatas,T-shirt Básica,149.9,44.52,,OI24,,,,
SKU_1320_PIS,T-shirts e Regatas T-shirt Básica SKU_1320_PIS,,Feminino,T-shirts e Regatas,T-shirt Básica,149.9,44.52,,OI24,,,,
SKU_1321_FLA,Lenços Lenço Estampado SKU_1321_FLA,,Acessórios,Lenços,Lenço Estampado,149.9,53.92,,OI24,,,,
SKU_1321_SER,Lenços Lenço Estampado SKU_1321_SER,,Acessórios,Lenços,Lenço Estampado,149.9,53.92,,OI24,,,,
SKU_1322_IVO,Calças Calça Pantalona SKU_1322_IVO,,Feminino,Calças,Calça Pantalona,329.9,125.49,,OI24,,,,
SKU_1322_MOS,Calças Calça Pantalona SKU_1322_MOS,,Feminino,Calças,Calça Pantalona,329.9,125.49,,OI24,,,,
SKU_1323_AQU,Calças Calça Alfaiataria SKU_1323_AQU,,Feminino,Calças,Calça Alfaiataria,289.9,111.93,,OI24,,,,
SKU_1323_FRE,Calças Calça Alfaiataria SKU_1323_FRE,,Feminino,Calças,Calça Alfaiataria,289.9,111.93,,OI24,,,,
SKU_1324_MID,Saias Saia Midi SKU_1324_MID,,Feminino,Saias,Saia Midi,329.9,109.2,,OI24,,,,
SKU_1324_SNO,Saias Saia Midi SKU_1324_SNO,,Feminino,Saias,Saia Midi,329.9,109.2,,OI24,,,,
SKU_1325_LIG,Cintos Cinto de Couro SKU_1325_LIG,,Acessórios,Cintos,Cinto de Couro,299.9,93.17,,OI24,,,,
SKU_1325_PEA,Cintos Cinto de Couro SKU_1325_PEA,,Acessórios,Cintos,Cinto de Couro,299.9,93.17,,OI24,,,,
SKU_1326_BAB,Tricô Cardigan SKU_1326_BAB,,Feminino,Tricô,Cardigan,504.9,147.26,,OI24,,,,
SKU_1326_PAS,Tricô Cardigan SKU_1326_PAS,,Feminino,Tricô,Cardigan,504.9,147.26,,OI24,,,,
SKU_1327_GAR,Blusas Blusa Manga Longa SKU_1327_GAR,,Feminino,Blusas,Blusa Manga Longa,259.9,74.15,,OI24,,,,
SKU_1327_HON,Blusas Blusa Manga Longa SKU_1327_HON,,Feminino,Blusas,Blusa Manga Longa,259.9,74.15,,OI24,,,,
SKU_1328_EGR,Camisas Camisa Jeans SKU_1328_EGR,,Feminino,Camisas,Camisa Jeans,264.9,78.68,,OI24,,,,
SKU_1328_LIG,Camisas Camisa Jeans SKU_1328_LIG,,Feminino,Camisas,Camisa Jeans,264.9,78.68,,OI24,,,,
SKU_1329_MIN,Blusas Blusa Manga Longa SKU_1329_MIN,,Feminino,Blusas,Blusa Manga Longa,274.9,97.97,,OI24,,,,
SKU_1329_NAV,Blusas Blusa Manga Longa SKU_1329_NAV,,Feminino,Blusas,Blusa Manga Longa,274.9,97.97,,OI24,,,,
SKU_1330_LIM,Calças Calça Pantalona SKU_1330_LIM,,Feminino,Calças,Calça Pantalona,309.9,102.58,,OI24,,,,
SKU_1330_PRI,Calças Calça Pantalona SKU_1330_PRI,,Feminino,Calças,Calça Pantalona,309.9,102.58,,OI24,,,,
SKU_1331_AQU,Calças Calça Jeans SKU_1331_AQU,,Feminino,Calças,Calça Jeans,279.9,89.01,,OI24,,,,
SKU_1331_ARM,Calças Calça Jeans SKU_1331_ARM,,Feminino,Calças,Calça Jeans,279.9,89.01,,OI24,,,,
SKU_1332_MOS,Lenços Lenço Estampado SKU_1332_MOS,,Acessórios,Lenços,Lenço Estampado,164.9,54.58,,OI24,,,,
SKU_1333_MOS,Blusas Blusa Manga Longa SKU_1333_MOS,,Feminino,Blusas,Blusa Manga Longa,189.9,62.86,,OI24,,,,
SKU_1333_PIS,Blusas Blusa Manga Longa SKU_1333_PIS,,Feminino,Blusas,Blusa Manga Longa,189.9,62.86,,OI24,,,,
SKU_1334_ROY,Bolsas Bolsa Tote SKU_1334_ROY,,Acessórios,Bolsas,Bolsa Tote,459.9,152.23,,OI24,,,,
SKU_1334_TEA,Bolsas Bolsa Tote SKU_1334_TEA,,Acessórios,Bolsas,Bolsa Tote,459.9,152.23,,OI24,,,,
SKU_1335_BRI,Calças Calça Jeans SKU_1335_BRI,,Feminino,Calças,Calça Jeans,379.9,113.74,,OI24,,,,
SKU_1335_CRE,Calças Calça Jeans SKU_1335_CRE,,Feminino,Calças,Calça Jeans,379.9,113.74,,OI24,,,,
SKU_1336_LIM,Calças Calça Jeans SKU_1336_LIM,,Feminino,Calças,Calça Jeans,349.9,95.6,,OI24,,,,
SKU_1336_PIN,Calças Calça Jeans SKU_1336_PIN,,Feminino,Calças,Calça Jeans,349.9,95.6,,OI24,,,,
SKU_1337_DUS,Bijoux Brinco SKU_1337_DUS,,Acessórios,Bijoux,Brinco,184.9,54.42,,OI24,,,,
SKU_1337_MAG,Bijoux Brinco SKU_1337_MAG,,Acessórios,Bijoux,Brinco,184.9,54.42,,OI24,,,,
SKU_1338_OLI,Saias Saia Midi SKU_1338_OLI,,Feminino,Saias,Saia Midi,204.9,67.0,,OI24,,,,
SKU_1338_PAS,Saias Saia Midi SKU_1338_PAS,,Feminino,Saias,Saia Midi,204.9,67.0,,OI24,,,,
SKU_1339_EME,Tricô Suéter SKU_1339_EME,,Feminino,Tricô,Suéter,309.9,110.45,,OI24,,,,
SKU_1339_JAD,Tricô Suéter SKU_1339_JAD,,Feminino,Tricô,Suéter,309.9,110.45,,OI24,,,,
SKU_1340_POW,Vestidos Vestido de Festa SKU_1340_POW,,Feminino,Vestidos,Vestido de Festa,1144.9,376.9,,OI24,,,,
SKU_1340_SNO,Vestidos Vestido de Festa SKU_1340_SNO,,Feminino,Vestidos,Vestido de Festa,1144.9,376.9,,OI24,,,,
SKU_1341_HOT,T-shirts e Regatas T-shirt Básica SKU_1341_HOT,,Feminino,T-shirts e Regatas,T-shirt Básica,179.9,57.21,,OI24,,,,
SKU_1341_PEA,T-shirts e Regatas T-shirt Básica SKU_1341_PEA,,Feminino,T-shirts e Regatas,T-shirt Básica,179.9,57.21,,OI24,,,,
SKU_1342_BAB,Tricô Cardigan SKU_1342_BAB,,Feminino,Tricô,Cardigan,349.9,111.27,,OI24,,,,
SKU_1342_CRE,Tricô Cardigan SKU_1342_CRE,,Feminino,Tricô,Cardigan,349.9,111.27,,OI24,,,,
SKU_1343_IVO,Blusas Blusa Manga Longa SKU_1343_IVO,,Feminino,Blusas,Blusa Manga Longa,314.9,104.23,,OI24,,,,
SKU_1343_NAV,Blusas Blusa Manga Longa SKU_1343_NAV,,Feminino,Blusas,Blusa Manga Longa,314.9,104.23,,OI24,,,,
SKU_1344_MID,Camisas Camisa Alfaiataria SKU_1344_MID,,Feminino,Camisas,Camisa Alfaiataria,314.9,100.14,,OI24,,,,
SKU_1344_PAS,Camisas Camisa Alfaiataria SKU_1344_PAS,,Feminino,Camisas,Camisa Alfaiataria,314.9,100.14,,OI24,,,,
SKU_1345_ARM,Casacos e Jaquetas Jaqueta de Couro SKU_1345_ARM,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,1199.9,329.07,,OI24,,,,
SKU_1345_FOR,Casacos e Jaquetas Jaqueta de Couro SKU_1345_FOR,,Feminino,Casacos e Jaquetas,Jaqueta de Couro,1199.9,329.07,,OI24,,,,
SKU_1346_HON,Tricô Cardigan SKU_1346_HON,,Feminino,Tricô,Cardigan,264.9,77.66,,OI24,,,,
SKU_1346_PEA,Tricô Cardigan SKU_1346_PEA,,Feminino,Tricô,Cardigan,264.9,77.66,,OI24,,,,
SKU_1347_DUS,Blusas Blusa Manga Longa SKU_1347_DUS,,Feminino,Blusas,Blusa Manga Longa,289.9,77.49,,OI24,,,,
SKU_1347_LIM,Blusas Blusa Manga Longa SKU_1347_LIM,,Feminino,Blusas,Blusa Manga Longa,289.9,77.49,,OI24,,,,
SKU_1348_NAV,Bolsas Bolsa Tiracolo SKU_1348_NAV,,Acessórios,Bolsas,Bolsa Tiracolo,649.9,212.52,,OI24,,,,
SKU_1348_PIS,Bolsas Bolsa Tiracolo SKU_1348_PIS,,Acessórios,Bolsas,Bolsa Tiracolo,649.9,212.52,,OI24,,,,
