Número do Pedido,Código (SKU),Data do Pedido,Quantidade Pedida,Custo Unitário (R$),Fornecedor,Previsão de Entrega,Data de Entrega Real,Status
PED_SKU_1326_PAS_1,SKU_1326_PAS,2024-03-01,394,147.26,,2024-04-15,,Entregue
PED_SKU_1326_PAS_2,SKU_1326_PAS,2024-04-30,394,147.26,,2024-06-14,,Entregue
PED_SKU_1326_PAS_3,SKU_1326_PAS,2024-06-29,394,147.26,,2024-08-13,,Entregue
PED_SKU_1326_BAB_0,SKU_1326_BAB,2024-01-01,527,147.26,,2024-02-15,,Entregue
PED_SKU_1326_BAB_1,SKU_1326_BAB,2024-03-01,527,147.26,,2024-04-15,,Entregue
PED_SKU_1326_BAB_2,SKU_1326_BAB,2024-04-30,527,147.26,,2024-06-14,,Entregue
PED_SKU_1327_GAR_0,SKU_1327_GAR,2024-01-01,546,74.15,,2024-02-15,,Entregue
PED_SKU_1327_GAR_1,SKU_1327_GAR,2024-03-01,546,74.15,,2024-04-15,,Entregue
PED_SKU_1327_GAR_2,SKU_1327_GAR,2024-04-30,546,74.15,,2024-06-14,,Entregue
PED_SKU_1327_HON_0,SKU_1327_HON,2024-01-01,549,74.15,,2024-02-15,,Entregue
PED_SKU_1327_HON_1,SKU_1327_HON,2024-03-01,549,74.15,,2024-04-15,,Entregue
PED_SKU_1327_HON_2,SKU_1327_HON,2024-04-30,549,74.15,,2024-06-14,,Entregue
PED_SKU_1328_EGR_0,SKU_1328_EGR,2024-01-01,420,78.68,,2024-02-15,,Entregue
PED_SKU_1328_EGR_1,SKU_1328_EGR,2024-03-01,420,78.68,,2024-04-15,,Entregue
PED_SKU_1328_EGR_2,SKU_1328_EGR,2024-04-30,420,78.68,,2024-06-14,,Entregue
PED_SKU_1328_EGR_3,SKU_1328_EGR,2024-06-29,420,78.68,,2024-08-13,,Entregue
PED_SKU_1328_LIG_0,SKU_1328_LIG,2024-01-01,804,78.68,,2024-02-15,,Entregue
PED_SKU_1328_LIG_1,SKU_1328_LIG,2024-03-01,804,78.68,,2024-04-15,,Cancelado
PED_SKU_1329_NAV_0,SKU_1329_NAV,2024-01-01,746,97.97,,2024-02-15,,Entregue
PED_SKU_1329_NAV_1,SKU_1329_NAV,2024-03-01,746,97.97,,2024-04-15,,Entregue
PED_SKU_1329_MIN_0,SKU_1329_MIN,2024-01-01,507,97.97,,2024-02-15,,Entregue
PED_SKU_1329_MIN_1,SKU_1329_MIN,2024-03-01,507,97.97,,2024-04-15,,Entregue
PED_SKU_1329_MIN_2,SKU_1329_MIN,2024-04-30,507,97.97,,2024-06-14,,Entregue
PED_SKU_1330_PRI_0,SKU_1330_PRI,2024-01-01,518,102.58,,2024-02-15,,Entregue
PED_SKU_1330_PRI_1,SKU_1330_PRI,2024-03-01,518,102.58,,2024-04-15,,Entregue
PED_SKU_1330_PRI_2,SKU_1330_PRI,2024-04-30,518,102.58,,2024-06-14,,Entregue
PED_SKU_1330_LIM_0,SKU_1330_LIM,2024-01-01,841,102.58,,2024-02-15,,Entregue
PED_SKU_1330_LIM_1,SKU_1330_LIM,2024-03-01,841,102.58,,2024-04-15,,Entregue
PED_SKU_1331_ARM_0,SKU_1331_ARM,2024-01-01,394,89.01,,2024-02-15,,Entregue
PED_SKU_1331_ARM_1,SKU_1331_ARM,2024-03-01,394,89.01,,2024-04-15,,Entregue
PED_SKU_1331_ARM_2,SKU_1331_ARM,2024-04-30,394,89.01,,2024-06-14,,Entregue
PED_SKU_1331_ARM_3,SKU_1331_ARM,2024-06-29,394,89.01,,2024-08-13,,Entregue
PED_SKU_1331_AQU_0,SKU_1331_AQU,2024-01-01,833,89.01,,2024-02-15,,Entregue
PED_SKU_1331_AQU_1,SKU_1331_AQU,2024-03-01,833,89.01,,2024-04-15,,Entregue
PED_SKU_1332_MOS_0,SKU_1332_MOS,2024-01-01,1459,54.58,,2024-02-15,,Entregue
PED_SKU_1332_MOS_1,SKU_1332_MOS,2024-03-01,1459,54.58,,2024-04-15,,Entregue
PED_SKU_1333_PIS_0,SKU_1333_PIS,2024-01-01,526,62.86,,2024-02-15,,Entregue
PED_SKU_1333_PIS_1,SKU_1333_PIS,2024-03-01,526,62.86,,2024-04-15,,Entregue
PED_SKU_1333_PIS_2,SKU_1333_PIS,2024-04-30,526,62.86,,2024-06-14,,Entregue
PED_SKU_1333_MOS_0,SKU_1333_MOS,2024-01-01,541,62.86,,2024-02-15,,Entregue
PED_SKU_1333_MOS_1,SKU_1333_MOS,2024-03-01,541,62.86,,2024-04-15,,Entregue
PED_SKU_1333_MOS_2,SKU_1333_MOS,2024-04-30,541,62.86,,2024-06-14,,Entregue
PED_SKU_1334_TEA_0,SKU_1334_TEA,2024-01-01,513,152.23,,2024-02-15,,Entregue
PED_SKU_1334_TEA_1,SKU_1334_TEA,2024-03-01,513,152.23,,2024-04-15,,Entregue
PED_SKU_1334_TEA_2,SKU_1334_TEA,2024-04-30,513,152.23,,2024-06-14,,Entregue
PED_SKU_1334_ROY_0,SKU_1334_ROY,2024-01-01,537,152.23,,2024-02-15,,Cancelado
PED_SKU_1334_ROY_1,SKU_1334_ROY,2024-03-01,537,152.23,,2024-04-15,,Entregue
PED_SKU_1334_ROY_2,SKU_1334_ROY,2024-04-30,537,152.23,,2024-06-14,,Entregue
PED_SKU_1335_CRE_0,SKU_1335_CRE,2024-01-01,750,113.74,,2024-02-15,,Entregue
PED_SKU_1335_CRE_1,SKU_1335_CRE,2024-03-01,750,113.74,,2024-04-15,,Entregue
PED_SKU_1335_BRI_0,SKU_1335_BRI,2024-01-01,398,113.74,,2024-02-15,,Entregue
PED_SKU_1335_BRI_1,SKU_1335_BRI,2024-03-01,398,113.74,,2024-04-15,,Cancelado
PED_SKU_1335_BRI_2,SKU_1335_BRI,2024-04-30,398,113.74,,2024-06-14,,Cancelado
PED_SKU_1335_BRI_3,SKU_1335_BRI,2024-06-29,398,113.74,,2024-08-13,,Entregue
PED_SKU_1336_LIM_0,SKU_1336_LIM,2024-01-01,522,95.6,,2024-02-15,,Entregue
PED_SKU_1336_LIM_1,SKU_1336_LIM,2024-03-01,522,95.6,,2024-04-15,,Entregue
PED_SKU_1336_LIM_2,SKU_1336_LIM,2024-04-30,522,95.6,,2024-06-14,,Entregue
PED_SKU_1336_PIN_0,SKU_1336_PIN,2024-01-01,410,95.6,,2024-02-15,,Entregue
PED_SKU_1336_PIN_1,SKU_1336_PIN,2024-03-01,410,95.6,,2024-04-15,,Entregue
PED_SKU_1336_PIN_2,SKU_1336_PIN,2024-04-30,410,95.6,,2024-06-14,,Entregue
PED_SKU_1336_PIN_3,SKU_1336_PIN,2024-06-29,410,95.6,,2024-08-13,,Entregue
PED_SKU_1337_DUS_0,SKU_1337_DUS,2024-01-01,529,54.42,,2024-02-15,,Entregue
PED_SKU_1337_DUS_1,SKU_1337_DUS,2024-03-01,529,54.42,,2024-04-15,,Entregue
PED_SKU_1337_DUS_2,SKU_1337_DUS,2024-04-30,529,54.42,,2024-06-14,,Entregue
PED_SKU_1337_MAG_0,SKU_1337_MAG,2024-01-01,415,54.42,,2024-02-15,,Entregue
PED_SKU_1337_MAG_1,SKU_1337_MAG,2024-03-01,415,54.42,,2024-04-15,,Entregue
PED_SKU_1337_MAG_2,SKU_1337_MAG,2024-04-30,415,54.42,,2024-06-14,,Entregue
PED_SKU_1337_MAG_3,SKU_1337_MAG,2024-06-29,415,54.42,,2024-08-13,,Entregue
PED_SKU_1338_OLI_0,SKU_1338_OLI,2024-01-01,513,67.0,,2024-02-15,,Entregue
PED_SKU_1338_OLI_1,SKU_1338_OLI,2024-03-01,513,67.0,,2024-04-15,,Entregue
PED_SKU_1338_OLI_2,SKU_1338_OLI,2024-04-30,513,67.0,,2024-06-14,,Entregue
PED_SKU_1338_PAS_0,SKU_1338_PAS,2024-01-01,405,67.0,,2024-02-15,,Entregue
PED_SKU_1338_PAS_1,SKU_1338_PAS,2024-03-01,405,67.0,,2024-04-15,,Entregue
PED_SKU_1338_PAS_2,SKU_1338_PAS,2024-04-30,405,67.0,,2024-06-14,,Entregue
PED_SKU_1338_PAS_3,SKU_1338_PAS,2024-06-29,405,67.0,,2024-08-13,,Entregue
PED_SKU_1339_JAD_0,SKU_1339_JAD,2024-01-01,388,110.45,,2024-02-15,,Entregue
PED_SKU_1339_JAD_1,SKU_1339_JAD,2024-03-01,388,110.45,,2024-04-15,,Entregue
PED_SKU_1339_JAD_2,SKU_1339_JAD,2024-04-30,388,110.45,,2024-06-14,,Entregue
PED_SKU_1339_JAD_3,SKU_1339_JAD,2024-06-29,388,110.45,,2024-08-13,,Entregue
PED_SKU_1339_EME_0,SKU_1339_EME,2024-01-01,790,110.45,,2024-02-15,,Entregue
PED_SKU_1339_EME_1,SKU_1339_EME,2024-03-01,790,110.45,,2024-04-15,,Entregue
PED_SKU_1340_SNO_0,SKU_1340_SNO,2024-01-01,391,376.9,,2024-02-15,,Cancelado
PED_SKU_1340_SNO_1,SKU_1340_SNO,2024-03-01,391,376.9,,2024-04-15,,Entregue
PED_SKU_1340_SNO_2,SKU_1340_SNO,2024-04-30,391,376.9,,2024-06-14,,Entregue
PED_SKU_1340_SNO_3,SKU_1340_SNO,2024-06-29,391,376.9,,2024-08-13,,Entregue
PED_SKU_1340_POW_0,SKU_1340_POW,2024-01-01,840,376.9,,2024-02-15,,Entregue
PED_SKU_1340_POW_1,SKU_1340_POW,2024-03-01,840,376.9,,2024-04-15,,Entregue
PED_SKU_1341_HOT_0,SKU_1341_HOT,2024-01-01,822,57.21,,2024-02-15,,Entregue
PED_SKU_1341_HOT_1,SKU_1341_HOT,2024-03-01,822,57.21,,2024-04-15,,Entregue
PED_SKU_1341_PEA_0,SKU_1341_PEA,2024-01-01,511,57.21,,2024-02-15,,Entregue
PED_SKU_1341_PEA_1,SKU_1341_PEA,2024-03-01,511,57.21,,2024-04-15,,Entregue
PED_SKU_1341_PEA_2,SKU_1341_PEA,2024-04-30,511,57.21,,2024-06-14,,Entregue
PED_SKU_1342_CRE_0,SKU_1342_CRE,2024-01-01,793,111.27,,2024-02-15,,Entregue
PED_SKU_1342_CRE_1,SKU_1342_CRE,2024-03-01,793,111.27,,2024-04-15,,Entregue
PED_SKU_1342_BAB_0,SKU_1342_BAB,2024-01-01,466,111.27,,2024-02-15,,Entregue
PED_SKU_1342_BAB_1,SKU_1342_BAB,2024-03-01,466,111.27,,2024-04-15,,Entregue
PED_SKU_1342_BAB_2,SKU_1342_BAB,2024-04-30,466,111.27,,2024-06-14,,Entregue
PED_SKU_1343_NAV_0,SKU_1343_NAV,2024-01-01,491,104.23,,2024-02-15,,Entregue
PED_SKU_1343_NAV_1,SKU_1343_NAV,2024-03-01,491,104.23,,2024-04-15,,Entregue
PED_SKU_1343_NAV_2,SKU_1343_NAV,2024-04-30,491,104.23,,2024-06-14,,Entregue
PED_SKU_1343_IVO_0,SKU_1343_IVO,2024-01-01,795,104.23,,2024-02-15,,Entregue
PED_SKU_1343_IVO_1,SKU_1343_IVO,2024-03-01,795,104.23,,2024-04-15,,Entregue
PED_SKU_1344_PAS_0,SKU_1344_PAS,2024-01-01,515,100.14,,2024-02-15,,Entregue
PED_SKU_1344_PAS_1,SKU_1344_PAS,2024-03-01,515,100.14,,2024-04-15,,Entregue
PED_SKU_1344_PAS_2,SKU_1344_PAS,2024-04-30,515,100.14,,2024-06-14,,Entregue
PED_SKU_1344_MID_0,SKU_1344_MID,2024-01-01,532,100.14,,2024-02-15,,Entregue
PED_SKU_1344_MID_1,SKU_1344_MID,2024-03-01,532,100.14,,2024-04-15,,Entregue
PED_SKU_1344_MID_2,SKU_1344_MID,2024-04-30,532,100.14,,2024-06-14,,Entregue
PED_SKU_1345_ARM_0,SKU_1345_ARM,2024-01-01,388,329.07,,2024-02-15,,Entregue
PED_SKU_1345_ARM_1,SKU_1345_ARM,2024-03-01,388,329.07,,2024-04-15,,Entregue
PED_SKU_1345_ARM_2,SKU_1345_ARM,2024-04-30,388,329.07,,2024-06-14,,Entregue
PED_SKU_1345_ARM_3,SKU_1345_ARM,2024-06-29,388,329.07,,2024-08-13,,Entregue
PED_SKU_1345_FOR_0,SKU_1345_FOR,2024-01-01,501,329.07,,2024-02-15,,Entregue
PED_SKU_1345_FOR_1,SKU_1345_FOR,2024-03-01,501,329.07,,2024-04-15,,Entregue
PED_SKU_1345_FOR_2,SKU_1345_FOR,2024-04-30,501,329.07,,2024-06-14,,Entregue
PED_SKU_1346_HON_0,SKU_1346_HON,2024-01-01,520,77.66,,2024-02-15,,Entregue
PED_SKU_1346_HON_1,SKU_1346_HON,2024-03-01,520,77.66,,2024-04-15,,Entregue
PED_SKU_1346_HON_2,SKU_1346_HON,2024-04-30,520,77.66,,2024-06-14,,Entregue
PED_SKU_1346_PEA_0,SKU_1346_PEA,2024-01-01,527,77.66,,2024-02-15,,Entregue
PED_SKU_1346_PEA_1,SKU_1346_PEA,2024-03-01,527,77.66,,2024-04-15,,Entregue
PED_SKU_1346_PEA_2,SKU_1346_PEA,2024-04-30,527,77.66,,2024-06-14,,Entregue
PED_SKU_1347_DUS_0,SKU_1347_DUS,2024-01-01,408,77.49,,2024-02-15,,Cancelado
PED_SKU_1347_DUS_1,SKU_1347_DUS,2024-03-01,408,77.49,,2024-04-15,,Entregue
PED_SKU_1347_DUS_2,SKU_1347_DUS,2024-04-30,408,77.49,,2024-06-14,,Entregue
PED_SKU_1347_DUS_3,SKU_1347_DUS,2024-06-29,408,77.49,,2024-08-13,,Entregue
PED_SKU_1347_LIM_0,SKU_1347_LIM,2024-01-01,522,77.49,,2024-02-15,,Entregue
PED_SKU_1347_LIM_1,SKU_1347_LIM,2024-03-01,522,77.49,,2024-04-15,,Entregue
PED_SKU_1347_LIM_2,SKU_1347_LIM,2024-04-30,522,77.49,,2024-06-14,,Entregue
PED_SKU_1348_NAV_0,SKU_1348_NAV,2024-01-01,797,212.52,,2024-02-15,,Entregue
PED_SKU_1348_NAV_1,SKU_1348_NAV,2024-03-01,797,212.52,,2024-04-15,,Entregue
PED_SKU_1348_PIS_0,SKU_1348_PIS,2024-01-01,535,212.52,,2024-02-15,,Entregue
PED_SKU_1348_PIS_1,SKU_1348_PIS,2024-03-01,535,212.52,,2024-04-15,,Entregue
PED_SKU_1348_PIS_2,SKU_1348_PIS,2024-04-30,535,212.52,,2024-06-14,,Cancelado
PED_SKU_1349_HON_0,SKU_1349_HON,2024-01-01,819,82.36,,2024-02-15,,Entregue
PED_SKU_1349_HON_1,SKU_1349_HON,2024-03-01,819,82.36,,2024-04-15,,Entregue
PED_SKU_1349_SEA_0,SKU_1349_SEA,2024-01-01,497,82.36,,2024-02-15,,Entregue
PED_SKU_1349_SEA_1,SKU_1349_SEA,2024-03-01,497,82.36,,2024-04-15,,Entregue
PED_SKU_1349_SEA_2,SKU_1349_SEA,2024-04-30,497,82.36,,2024-06-14,,Entregue
PED_SKU_1350_SNO_0,SKU_1350_SNO,2024-01-01,749,94.3,,2024-02-15,,Entregue
PED_SKU_1350_SNO_1,SKU_1350_SNO,2024-03-01,749,94.3,,2024-04-15,,Entregue
PED_SKU_1350_BAB_0,SKU_1350_BAB,2024-01-01,821,94.3,,2024-02-15,,Entregue
PED_SKU_1350_BAB_1,SKU_1350_BAB,2024-03-01,821,94.3,,2024-04-15,,Entregue
PED_SKU_1351_SAG_0,SKU_1351_SAG,2024-01-01,377,228.36,,2024-02-15,,Entregue
PED_SKU_1351_SAG_1,SKU_1351_SAG,2024-03-01,377,228.36,,2024-04-15,,Entregue
PED_SKU_1351_SAG_2,SKU_1351_SAG,2024-04-30,377,228.36,,2024-06-14,,Entregue
PED_SKU_1351_SAG_3,SKU_1351_SAG,2024-06-29,377,228.36,,2024-08-13,,Entregue
PED_SKU_1351_HON_0,SKU_1351_HON,2024-01-01,420,228.36,,2024-02-15,,Entregue
PED_SKU_1351_HON_1,SKU_1351_HON,2024-03-01,420,228.36,,2024-04-15,,Entregue
PED_SKU_1351_HON_2,SKU_1351_HON,2024-04-30,420,228.36,,2024-06-14,,Entregue
PED_SKU_1351_HON_3,SKU_1351_HON,2024-06-29,420,228.36,,2024-08-13,,Entregue
PED_SKU_1352_CER_0,SKU_1352_CER,2024-01-01,405,92.65,,2024-02-15,,Entregue
PED_SKU_1352_CER_1,SKU_1352_CER,2024-03-01,405,92.65,,2024-04-15,,Entregue
PED_SKU_1352_CER_2,SKU_1352_CER,2024-04-30,405,92.65,,2024-06-14,,Entregue
PED_SKU_1352_CER_3,SKU_1352_CER,2024-06-29,405,92.65,,2024-08-13,,Entregue
PED_SKU_1352_HUN_0,SKU_1352_HUN,2024-01-01,383,92.65,,2024-02-15,,Entregue
PED_SKU_1352_HUN_1,SKU_1352_HUN,2024-03-01,383,92.65,,2024-04-15,,Entregue
PED_SKU_1352_HUN_2,SKU_1352_HUN,2024-04-30,383,92.65,,2024-06-14,,Entregue
PED_SKU_1352_HUN_3,SKU_1352_HUN,2024-06-29,383,92.65,,2024-08-13,,Entregue
PED_SKU_1353_MAG_0,SKU_1353_MAG,2024-01-01,857,62.86,,2024-02-15,,Entregue
PED_SKU_1353_MAG_1,SKU_1353_MAG,2024-03-01,857,62.86,,2024-04-15,,Entregue
PED_SKU_1353_MAR_0,SKU_1353_MAR,2024-01-01,868,62.86,,2024-02-15,,Entregue
PED_SKU_1353_MAR_1,SKU_1353_MAR,2024-03-01,868,62.86,,2024-04-15,,Entregue
PED_SKU_1354_AQU_0,SKU_1354_AQU,2024-01-01,825,304.48,,2024-02-15,,Entregue
PED_SKU_1354_AQU_1,SKU_1354_AQU,2024-03-01,825,304.48,,2024-04-15,,Entregue
PED_SKU_1354_CLE_0,SKU_1354_CLE,2024-01-01,374,304.48,,2024-02-15,,Entregue
PED_SKU_1354_CLE_1,SKU_1354_CLE,2024-03-01,374,304.48,,2024-04-15,,Entregue
PED_SKU_1354_CLE_2,SKU_1354_CLE,2024-04-30,374,304.48,,2024-06-14,,Entregue
PED_SKU_1354_CLE_3,SKU_1354_CLE,2024-06-29,374,304.48,,2024-08-13,,Entregue
PED_SKU_1355_PAS_0,SKU_1355_PAS,2024-01-01,420,57.58,,2024-02-15,,Entregue
PED_SKU_1355_PAS_1,SKU_1355_PAS,2024-03-01,420,57.58,,2024-04-15,,Entregue
PED_SKU_1355_PAS_2,SKU_1355_PAS,2024-04-30,420,57.58,,2024-06-14,,Entregue
PED_SKU_1355_PAS_3,SKU_1355_PAS,2024-06-29,420,57.58,,2024-08-13,,Entregue
PED_SKU_1355_DEE_0,SKU_1355_DEE,2024-01-01,368,57.58,,2024-02-15,,Entregue
PED_SKU_1355_DEE_1,SKU_1355_DEE,2024-03-01,368,57.58,,2024-04-15,,Entregue
PED_SKU_1355_DEE_2,SKU_1355_DEE,2024-04-30,368,57.58,,2024-06-14,,Entregue
PED_SKU_1355_DEE_3,SKU_1355_DEE,2024-06-29,368,57.58,,2024-08-13,,Entregue
PED_SKU_1356_BLU_0,SKU_1356_BLU,2024-01-01,749,70.75,,2024-02-15,,Entregue
PED_SKU_1356_BLU_1,SKU_1356_BLU,2024-03-01,749,70.75,,2024-04-15,,Entregue
PED_SKU_1356_DEN_0,SKU_1356_DEN,2024-01-01,549,70.75,,2024-02-15,,Entregue
PED_SKU_1356_DEN_1,SKU_1356_DEN,2024-03-01,549,70.75,,2024-04-15,,Entregue
PED_SKU_1356_DEN_2,SKU_1356_DEN,2024-04-30,549,70.75,,2024-06-14,,Cancelado
PED_SKU_1357_BRI_0,SKU_1357_BRI,2024-01-01,356,220.08,,2024-02-15,,Entregue
PED_SKU_1357_BRI_1,SKU_1357_BRI,2024-03-01,356,220.08,,2024-04-15,,Entregue
PED_SKU_1357_BRI_2,SKU_1357_BRI,2024-04-30,356,220.08,,2024-06-14,,Entregue
PED_SKU_1357_BRI_3,SKU_1357_BRI,2024-06-29,356,220.08,,2024-08-13,,Entregue
PED_SKU_1357_BLU_0,SKU_1357_BLU,2024-01-01,841,220.08,,2024-02-15,,Entregue
PED_SKU_1357_BLU_1,SKU_1357_BLU,2024-03-01,841,220.08,,2024-04-15,,Entregue
PED_SKU_1358_DUS_0,SKU_1358_DUS,2024-01-01,506,65.81,,2024-02-15,,Entregue
PED_SKU_1358_DUS_1,SKU_1358_DUS,2024-03-01,506,65.81,,2024-04-15,,Entregue
PED_SKU_1358_DUS_2,SKU_1358_DUS,2024-04-30,506,65.81,,2024-06-14,,Entregue
PED_SKU_1358_MAR_0,SKU_1358_MAR,2024-01-01,763,65.81,,2024-02-15,,Entregue
PED_SKU_1358_MAR_1,SKU_1358_MAR,2024-03-01,763,65.81,,2024-04-15,,Entregue
PED_SKU_1359_BLU_0,SKU_1359_BLU,2024-01-01,367,135.12,,2024-02-15,,Entregue
PED_SKU_1359_BLU_1,SKU_1359_BLU,2024-03-01,367,135.12,,2024-04-15,,Entregue
PED_SKU_1359_BLU_2,SKU_1359_BLU,2024-04-30,367,135.12,,2024-06-14,,Entregue
PED_SKU_1359_BLU_3,SKU_1359_BLU,2024-06-29,367,135.12,,2024-08-13,,Entregue
PED_SKU_1359_NAV_0,SKU_1359_NAV,2024-01-01,777,135.12,,2024-02-15,,Entregue
PED_SKU_1359_NAV_1,SKU_1359_NAV,2024-03-01,777,135.12,,2024-04-15,,Entregue
PED_SKU_1360_WHI_0,SKU_1360_WHI,2024-01-01,553,105.89,,2024-02-15,,Entregue
PED_SKU_1360_WHI_1,SKU_1360_WHI,2024-03-01,553,105.89,,2024-04-15,,Entregue
PED_SKU_1360_WHI_2,SKU_1360_WHI,2024-04-30,553,105.89,,2024-06-14,,Entregue
PED_SKU_1360_FRE_0,SKU_1360_FRE,2024-01-01,415,105.89,,2024-02-15,,Entregue
PED_SKU_1360_FRE_1,SKU_1360_FRE,2024-03-01,415,105.89,,2024-04-15,,Entregue
PED_SKU_1360_FRE_2,SKU_1360_FRE,2024-04-30,415,105.89,,2024-06-14,,Cancelado
PED_SKU_1360_FRE_3,SKU_1360_FRE,2024-06-29,415,105.89,,2024-08-13,,Entregue
PED_SKU_1361_MEX_0,SKU_1361_MEX,2024-01-01,410,60.39,,2024-02-15,,Entregue
PED_SKU_1361_MEX_1,SKU_1361_MEX,2024-03-01,410,60.39,,2024-04-15,,Entregue
PED_SKU_1361_MEX_2,SKU_1361_MEX,2024-04-30,410,60.39,,2024-06-14,,Entregue
PED_SKU_1361_MEX_3,SKU_1361_MEX,2024-06-29,410,60.39,,2024-08-13,,Entregue
PED_SKU_1361_BLU_0,SKU_1361_BLU,2024-01-01,368,60.39,,2024-02-15,,Entregue
PED_SKU_1361_BLU_1,SKU_1361_BLU,2024-03-01,368,60.39,,2024-04-15,,Entregue
PED_SKU_1361_BLU_2,SKU_1361_BLU,2024-04-30,368,60.39,,2024-06-14,,Entregue
PED_SKU_1361_BLU_3,SKU_1361_BLU,2024-06-29,368,60.39,,2024-08-13,,Entregue
PED_SKU_1362_POW_0,SKU_1362_POW,2024-01-01,402,303.66,,2024-02-15,,Entregue
PED_SKU_1362_POW_1,SKU_1362_POW,2024-03-01,402,303.66,,2024-04-15,,Entregue
PED_SKU_1362_POW_2,SKU_1362_POW,2024-04-30,402,303.66,,2024-06-14,,Entregue
PED_SKU_1362_POW_3,SKU_1362_POW,2024-06-29,402,303.66,,2024-08-13,,Entregue
PED_SKU_1362_SEA_0,SKU_1362_SEA,2024-01-01,777,303.66,,2024-02-15,,Entregue
PED_SKU_1362_SEA_1,SKU_1362_SEA,2024-03-01,777,303.66,,2024-04-15,,Entregue
PED_SKU_1363_RAS_0,SKU_1363_RAS,2024-01-01,500,302.07,,2024-02-15,,Entregue
PED_SKU_1363_RAS_1,SKU_1363_RAS,2024-03-01,500,302.07,,2024-04-15,,Entregue
PED_SKU_1363_RAS_2,SKU_1363_RAS,2024-04-30,500,302.07,,2024-06-14,,Entregue
PED_SKU_1363_HUN_0,SKU_1363_HUN,2024-01-01,767,302.07,,2024-02-15,,Entregue
PED_SKU_1363_HUN_1,SKU_1363_HUN,2024-03-01,767,302.07,,2024-04-15,,Entregue
PED_SKU_1364_OFF_0,SKU_1364_OFF,2024-01-01,410,146.25,,2024-02-15,,Entregue
PED_SKU_1364_OFF_1,SKU_1364_OFF,2024-03-01,410,146.25,,2024-04-15,,Entregue
PED_SKU_1364_OFF_2,SKU_1364_OFF,2024-04-30,410,146.25,,2024-06-14,,Entregue
PED_SKU_1364_OFF_3,SKU_1364_OFF,2024-06-29,410,146.25,,2024-08-13,,Entregue
PED_SKU_1364_TEA_0,SKU_1364_TEA,2024-01-01,780,146.25,,2024-02-15,,Cancelado
PED_SKU_1364_TEA_1,SKU_1364_TEA,2024-03-01,780,146.25,,2024-04-15,,Entregue
PED_SKU_1365_BUB_0,SKU_1365_BUB,2024-01-01,410,165.47,,2024-02-15,,Entregue
PED_SKU_1365_BUB_1,SKU_1365_BUB,2024-03-01,410,165.47,,2024-04-15,,Entregue
PED_SKU_1365_BUB_2,SKU_1365_BUB,2024-04-30,410,165.47,,2024-06-14,,Entregue
PED_SKU_1365_BUB_3,SKU_1365_BUB,2024-06-29,410,165.47,,2024-08-13,,Cancelado
PED_SKU_1365_NAV_0,SKU_1365_NAV,2024-01-01,396,165.47,,2024-02-15,,Cancelado
PED_SKU_1365_NAV_1,SKU_1365_NAV,2024-03-01,396,165.47,,2024-04-15,,Entregue
PED_SKU_1365_NAV_2,SKU_1365_NAV,2024-04-30,396,165.47,,2024-06-14,,Entregue
PED_SKU_1365_NAV_3,SKU_1365_NAV,2024-06-29,396,165.47,,2024-08-13,,Entregue
PED_SKU_1366_TEA_0,SKU_1366_TEA,2024-01-01,537,134.43,,2024-02-15,,Entregue
PED_SKU_1366_TEA_1,SKU_1366_TEA,2024-03-01,537,134.43,,2024-04-15,,Entregue
PED_SKU_1366_TEA_2,SKU_1366_TEA,2024-04-30,537,134.43,,2024-06-14,,Entregue
PED_SKU_1366_PAL_0,SKU_1366_PAL,2024-01-01,547,134.43,,2024-02-15,,Entregue
PED_SKU_1366_PAL_1,SKU_1366_PAL,2024-03-01,547,134.43,,2024-04-15,,Entregue
PED_SKU_1366_PAL_2,SKU_1366_PAL,2024-04-30,547,134.43,,2024-06-14,,Entregue
PED_SKU_1367_VAN_0,SKU_1367_VAN,2024-01-01,747,55.11,,2024-02-15,,Entregue
PED_SKU_1367_VAN_1,SKU_1367_VAN,2024-03-01,747,55.11,,2024-04-15,,Entregue
PED_SKU_1367_BLA_0,SKU_1367_BLA,2024-01-01,803,55.11,,2024-02-15,,Entregue
PED_SKU_1367_BLA_1,SKU_1367_BLA,2024-03-01,803,55.11,,2024-04-15,,Entregue
PED_SKU_1368_SNO_0,SKU_1368_SNO,2024-01-01,795,212.52,,2024-02-15,,Entregue
PED_SKU_1368_SNO_1,SKU_1368_SNO,2024-03-01,795,212.52,,2024-04-15,,Entregue
PED_SKU_1368_TUR_0,SKU_1368_TUR,2024-01-01,406,212.52,,2024-02-15,,Entregue
PED_SKU_1368_TUR_1,SKU_1368_TUR,2024-03-01,406,212.52,,2024-04-15,,Entregue
PED_SKU_1368_TUR_2,SKU_1368_TUR,2024-04-30,406,212.52,,2024-06-14,,Entregue
PED_SKU_1368_TUR_3,SKU_1368_TUR,2024-06-29,406,212.52,,2024-08-13,,Entregue
PED_SKU_1369_SNO_0,SKU_1369_SNO,2024-01-01,514,50.69,,2024-02-15,,Entregue
PED_SKU_1369_SNO_1,SKU_1369_SNO,2024-03-01,514,50.69,,2024-04-15,,Entregue
PED_SKU_1369_SNO_2,SKU_1369_SNO,2024-04-30,514,50.69,,2024-06-14,,Entregue
PED_SKU_1369_RAS_0,SKU_1369_RAS,2024-01-01,402,50.69,,2024-02-15,,Entregue
